質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,注目度,回答競争率,注目/競争比,受付終了まで,URL,本文冒頭
2026/1/11 13:52,ドラマ,19712000kana,0時間0分,0,1,1.493,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171797,大河ドラマ「豊臣兄弟」を観た方に質問です。 まだ１話だけですが、正直、全体的にミスキャストだった気が...
2026/1/11 13:52,メンタルヘルス,1149822363,0時間0分,0,3,4.48,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171795,私が今こうなのは私のせいじゃないのに。 私の責任じゃないのに！と思ってしまうのは間違っていますか？ ...
2026/1/11 13:52,恋愛相談、人間関係の悩み,非公開,0時間0分,2,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171794,結婚前提で付き合うのなら、中身重視しますか？ 見た目重視しますか？ 一緒にいて楽しいし、凄く話しが続...
2026/1/11 13:52,自動車,sta********,0時間0分,2,1,1.493,200.0,0.01,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171793,車の買い替えについて。 現在ダイハツタント2017年式に乗ってます。スマートアシストが付います。 乗...
2026/1/11 13:52,ゲーム,1253131109,0時間0分,0,2,2.987,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171792,【至急】原神についての質問です。 明日の夜までに1800原石を貯めたいのですが、その方法を教えて欲し...
2026/1/11 13:52,超常現象、オカルト,かえるけろけろ,0時間0分,0,1,1.493,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171791,河童って水◯体なんですか？ うつ伏せで浮いてる背中と頭が緑色に変色して膨れ上がったのが河童の甲羅とお...
2026/1/11 13:52,恋愛相談、人間関係の悩み,非公開,0時間0分,0,3,4.48,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171790,【大至急】同棲して別れた彼氏がいた女性って婚姻届や離婚届という紙切れの書類を役所に提出していないだけ...
2026/1/11 13:52,大学受験,むん,0時間0分,0,1,1.493,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171789,至急です！！ 名城大学の出願について 2月2日 A方式理工学部、F方式理工学部 2月3日 A方式理工...
2026/1/11 13:51,住宅ローン,iga********,0時間1分,0,1,0.599,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171788,住宅ローンを銀行へ払っています。 以前郵便局の住宅ローン担当の方より、銀行から郵便局へ変えたら、住宅...
2026/1/11 13:51,郵便、宅配,不安,0時間1分,1,4,2.396,25.0,0.1,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171787,メルカリ初心者です。 なんとなく出してみた商品が売れたんですけど 全く知識がなくて全くわからないです...
2026/1/11 13:51,海外,jir********,0時間1分,0,1,0.599,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171785,台湾新幹線の外国人割引について質問です。 台北から台南に2名で2泊3日で行きたいのですが、KKday...
2026/1/11 13:51,アルバイト、フリーター,さくらもち,0時間1分,0,2,1.198,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171784,バイトが不安です。 懐石料理屋さんに採用されました。研修を行っているんですが、運び方とか料理の紹介と...
2026/1/11 13:51,Yahoo!知恵袋,にんじん,0時間1分,2,4,2.396,50.0,0.05,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171783,最近寝ても寝ても眠いのですがこれはなんなのでしょうか？
2026/1/11 13:51,サッカー,ひまじん,0時間1分,0,1,0.599,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171782,サッカーもmlbと一緒で資金力が全てですか？
2026/1/11 13:51,家族関係の悩み,もゆゆ,0時間1分,0,2,1.198,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171781,毒親から抜け出す方法は何がいいですか？現在高校二年生（数ヶ月後に三年生）です。都内住みですが田舎のよ...
2026/1/11 13:51,ショッピングモール,cfh********,0時間1分,0,1,0.599,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171780,ららぽーと海老名の駐車サービスについて質問です。 1台の車で家族で買い物に行った場合、別々に買い物を...
2026/1/11 13:51,英語,c3c9b0570,0時間1分,1,3,1.797,33.33,0.05,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171779,高校3年生です 英語の共テですが、単語と熟語、ルールズ1.2と大岩しかやってないのですが、これでも足...
2026/1/11 13:51,家族関係の悩み,c31c0319,0時間1分,0,1,0.599,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171778,私は高校一年生です。私の姉への対応についての質問です。私の姉は現在高校三年生で、反抗期が長続きしてい...
2026/1/11 13:51,プレイステーション4,フリーメイソン,0時間1分,0,2,1.198,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171777,ps5でrealmsを使いマイクラをしています。 寝落ちしてしまいps5の省エネモードで電源が切れて...
2026/1/11 13:51,恋愛相談、人間関係の悩み,非公開ID,0時間1分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171776,高二女子です！！ 恋愛相談乗って欲しいので、最後まで読んでいただけたら光栄です、、（ ; ; ） 私...
2026/1/11 13:51,ジョギング,jkr********,0時間1分,2,5,2.995,40.0,0.07,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171774,一般人が3～4キロの距離走ったら何分くらいかかりますか？ 年代によっても違うでしょうが。 13～15...
2026/1/11 13:51,総合格闘技、K-1,mas********,0時間1分,1,2,1.198,50.0,0.02,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171773,朝倉未来 vs シェイドラエフ で、シェイドラエフが何回も朝倉未来の耳の後ろを殴った、みたいな記事が...
2026/1/11 13:51,メイク、コスメ,匿名,0時間1分,0,2,1.198,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171772,めちゃくちゃ濃いおすすめマスカラ教えてください！！
2026/1/11 13:51,仕事効率化、ノウハウ,むーきぃべっちゅ,0時間1分,0,2,1.198,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171771,会社による昇進制度による昇給は必要？ 現在、管理職になりたがらない方が増えているとか 給料より自分の...
2026/1/11 13:51,スマートフォン,1149876135,0時間1分,2,3,1.797,66.67,0.03,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171770,簡単スマホのBASIO active3について教えてください。 親のスマホ買い替えで購入を検討してい...
2026/1/11 13:51,恋愛相談、人間関係の悩み,c3cfd9786,0時間1分,2,3,1.797,66.67,0.03,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171769,結婚半年の夫婦です。 妻は出張が多く、家にいないことがよくあります。 そんなとき、会社の後輩とよくご...
2026/1/11 13:51,数学,1052552101,0時間1分,1,7,4.193,14.29,0.29,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171767,①比例定数大きい順acbじゃないんですか？答えはabcでした
2026/1/11 13:51,文房具,nyaう,0時間1分,1,6,3.594,16.67,0.22,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171765,至急！！！ こういうバインダー？ってなんて言う名前ですか？
2026/1/8 19:32,大学受験,あかさたな,2日18時間20分,3,18116,4.551,0.02,227.55,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324079059,この共通テスト成績請求番号の最後の一桁が受験票のどこにも書いてなくて困ってます。 何を入力すればいい...
2026/1/10 11:53,スマホアプリ,ito********,1日1時間59分,7,7678,4.923,0.09,54.7,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324131724,最強トレーナーのアプリついてです。 アプリをダウンロードして、アプリを開きアップデートまでしてしまい...
2026/1/8 22:22,日本映画,1152829203,2日15時間30分,6,15008,3.938,0.04,98.45,あと1日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324085614,映画でっちあげについて質問です。 実話と聞いたのですが、実際に他の生徒に聞いたら分かるものではないの...
2026/1/10 16:56,バレーボール,モッティ,20時間56分,2,3076,2.448,0.07,34.97,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324140524,春高バレーの決勝は無料のライブ配信はしないのですか?ほかはやっていたのですが、、、
2026/1/10 0:27,政治、社会問題,qsefthuk,1日13時間25分,17,5394,2.402,0.32,7.51,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324121554,なぜ今、衆議院解散をするのですか？
2026/1/9 14:51,メンズスーツ,1052255044,1日23時間1分,12,5989,2.123,0.2,10.62,あと2日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324102802,至急です！今度成人式を迎える男なのですが、スーツの上にダウンジャケットはダメですか？？コートを持って...
2026/1/1 4:27,携帯型ゲーム全般,おやすみ,10日9時間25分,2,13022,0.87,0.02,43.5,回答受付が終了しました,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14323821649,プロセカの福財の御札ガチャなんですけどあのチケットはどうすれば手に入れることができますか？わかる方教...
2026/1/9 12:47,ポケットモンスター,fse********,2日1時間5分,5,46703,15.855,0.01,1585.5,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324100076,至急です。 TikTokの広告に流れてきたんですけど、｢最強トレーナー｣というポケモンのアプリがある...
2026/1/5 11:42,インターネットショッピング,ada6dcfde,6日2時間10分,3,23217,2.647,0.01,264.7,回答受付が終了しました,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11323961006,ZOZOTOWNで注文したら白い箱で届いたのですが、これは今の期間みんな白い箱なんですか？ それとも...
2026/1/4 1:47,iPhone,c3448e7a6,7日12時間5分,3,16384,1.516,0.02,75.8,回答受付が終了しました,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12323917407,今iwaraを開こうとしたらThis page doesn't seem to exist.It l...
2026/1/11 13:54,家族関係の悩み,sir********,23時間58分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171866,家庭関係が壊れたのは私が悪いのでしょうか？ 中高で肺を悪くして5回入院し、ろくに授業も受けられないま...
2026/1/11 13:54,アニメ,nor********,23時間58分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171864,幽遊白書おもろいですか
2026/1/11 13:54,友人関係の悩み,a421c16a7,23時間58分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171863,陰キャで友達も少ない女が成人式後の同窓会に行ったら変でしょうか？イキってるとか思いますか？
2026/1/11 13:54,健康、病気、病院,mid********,23時間58分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171862,治療する上で何を重視するかは、人それぞれ違うと思いますので、例えば、ホルモン補充療法は気が進まないと...
2026/1/11 13:54,パソコン,cc9715a04,23時間58分,1,2,0.0,50.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171860,pcでマイクラをしていたのですがコマンドでコピーペーストしようとしたら全体画面の終了の仕方がわかりま...
2026/1/11 13:54,数学,cHWvMJc20r,23時間58分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171858,相加相乗平均の不等式に関する質問です。 例えばx＋4y=1を満たす式があり、 1/x＋1/yの最小値...
2026/1/11 13:54,英語,bb678fbba,23時間58分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171859,英語の問題集をやってたら、答えが間違ってるんじゃないかという問題が出てきたので答えが合っているのかど...
2026/1/11 13:54,菓子、スイーツ,天津飯,23時間58分,1,1,0.0,100.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171857,おすすめのお菓子作りのレシピを教えてください！(クッキー以外でお願いしますm(_ _)m)
2026/1/11 13:54,恋愛相談、人間関係の悩み,b7ae23e69,23時間58分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171856,私は他校の同じ部活の一年生に一目惚れしました。同性です。 身長が高くて、プレーも上手でかっこよくて大...
2026/1/11 13:54,家族関係の悩み,cherry.0324,23時間58分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171855,父親に今もお尻を触られます。父は毎日お酒飲むんですよ。そりゃあ当然酔っ払いますよね。それでよく弟のお...
2026/1/11 13:54,日本語,匿名,23時間58分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171853,ジャニヲタがよく使うチケットのお譲りの構文の、 「お心当たりのある」の使い方が日本語的にもやもやしま...
2026/1/11 13:54,恋愛相談、人間関係の悩み,非公開,23時間58分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171854,一人称が僕の女性に対して引いてしまう人は橋本環奈のような絶世の美女が僕っ子でも引きますか？
2026/1/11 13:53,恋愛相談、人間関係の悩み,名無し,23時間59分,2,1,0.0,200.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171852,なんでもいいんですが、 異性(女性)が自分を恋愛対象として 見てるかわかる方法ってありますか？
2026/1/11 13:53,家族関係の悩み,33555656,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171851,月収40万は普通以上の経済力といえますか？
2026/1/11 13:53,iPhone,匿名,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171849,iPhoneの機種変更をしました。 Gmailメールが届きません。 15ギガ以上使用しています。 ど...
2026/1/11 13:53,手芸,you29800206,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171848,棒針です 数えてたつもりでしたが段数がわからなくなりました。 50段目を編んでる で合っていますでし...
2026/1/11 13:53,超常現象、オカルト,かえるけろけろ,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171847,チャーリーゲームってこっくりさんより安全ですよね？
2026/1/11 13:53,ポケットモンスター,a1500e9ef,23時間59分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171846,ポケポケ シャイニングハイの色違いリザードンのアイコンが受け取れません。 シャイニングハイに収録され...
2026/1/11 13:53,動画、映像,ぴんく,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171845,アニメのMADって皆さんどのように作っているんですか？ Netflixとか画面録画できないので素材が...
2026/1/11 13:53,タブレット端末,わ,23時間59分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171844,iPadのペンを購入したいのですが、Metapen Ciscle HATOKUではどれが1番描きやす...
2026/1/11 13:53,職場の悩み,1053229063,23時間59分,0,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171843,食品工場の勤務前、工場到着から現場内入るまでの流れを教えてほしいです。
2026/1/11 13:53,大学受験,1153144431,23時間59分,1,4,0.0,25.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171842,生物の点数が7割から伸びません。本番8割取りたいですどうしたらいいですか
2026/1/11 13:53,恋愛相談、人間関係の悩み,1251421751,23時間59分,1,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171841,彼女にサプライズって誕生日じゃない日(記念日、何も無い日など)にするのが普通ですか？ 自分は誕生日っ...
2026/1/11 13:53,大学受験,b4de633da,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171840,共テ世界史について質問です。 明後日2025の追試やろうと思ってるんですけど、2025の本試とどっち...
2026/1/11 13:53,病気、症状,匿名,23時間59分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171839,私(女)の祖父が、認知症になる前は、他人に私の名前を言う時は、私の名前を呼び捨てで呼んでいたのに、認...
2026/1/11 13:53,メール,ca2ff90d3,23時間59分,1,3,0.0,33.33,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171838,Gメールの一斉送信について質問です。自分で一斉送信について説明してるサイトや同じ問題に困っている方の...
2026/1/11 13:53,カスタマイズ,1151703324,23時間59分,1,3,0.0,33.33,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171837,カムリ納車しホイールを変えようと思っています。どこのメーカでメッシュや5本スポークなどどんな感じのが...
2026/1/11 13:53,ゲーム,1150999284,23時間59分,1,0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171836,イナズマイレブンVについての質問です。 ポジション毎で強いパッシブ教えてください
2026/1/11 13:53,大学,あ,23時間59分,1,2,0.0,50.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171835,大学での書類についてなんですが、 「退学許可書」と「在籍期間証明書、退学証明書」って別物ですよね？ ...
,未分類,匿名,,0,0,0.0,0.0,0.0,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171834,
2026/1/11 13:53,メガネ、サングラス,ca8********,23時間59分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171833,久しぶりに眼鏡屋にいく予定です。 最近の眼鏡屋って愛想よくなったほうですよね？？ 度の強い眼鏡でも低...
2026/1/11 13:53,生命保険,fsr********,23時間59分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171832,すでにガン保険には加入しているのですが、抗がん剤治療給付をプラスして入ろうと考えています。 なないろ...
2026/1/11 13:53,ファッション,1152956922,23時間59分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171831,Eme studiousでパーカーを購入する予定ですが、家に到着するまでどのくらいかかりますか？
2026/1/11 13:53,病気、症状,くきろ,23時間59分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171830,左キンタマの中の管(？)が太くなってて、そこを押すと左の横腹が痛くなります。これってやばいやつですか...
2026/1/11 13:53,サバイバルゲーム,ひややっこ,23時間59分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171829,AK47Rのハンドガードにレールと ストックとグリップを変えたいのですが そういうパーツってあります...
2026/1/11 13:53,英語,1151364541,23時間59分,1,4,0.0,25.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171828,英文 についての質問です。※英文問題より ◎分かりやすい説明でお願いします。 Why did he ...
2026/1/11 13:53,アルバイト、フリーター,名無し,23時間59分,0,5,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171827,至急！ バイトのついて質問です。 今さきほど、某スーパーマーケットの面接に行ってきたのですが、そこの...
2026/1/11 13:53,職場の悩み,omk********,23時間59分,2,2,0.0,100.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171826,【上場企業の契約社員の慶弔休暇】 契約社員で勤続年数10年で結婚するので休暇を申請のところ人事から「...
2026/1/11 13:53,テレビ、DVD、ホームシアター,bec7305f8,23時間59分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171825,テレビでゲームをしていると、途中で、画面が真っ暗になります。これはテレビの劣化でしょうか？回答お願い...
2026/1/11 13:53,バイク,1729346329142418,23時間59分,2,2,0.0,100.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171824,トゥデイAF61の後輪を回すとゴロゴロと音が鳴るのですが、原因は何が考えられますか？ アイドリング状...
2026/1/11 13:55,スマートフォン,1251303343,23時間57分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171891,スマホの上に出てくるこれってなんですか？WiFiの近くにあります。
2026/1/11 13:55,LINE,1151054423,23時間57分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171890,LINEのブロックしたら相手って分かりますか？ ブロックされた側が通話をかけて来た場合、ブロックされ...
2026/1/11 13:55,レディース全般,chi********,23時間57分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171889,【500枚】 昭和50年代後半に、資生堂で十代の女の子向け基礎化粧品ブランドがあったと思うのですが、...
2026/1/11 13:55,洗濯、クリーニング,sakusaku,23時間57分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171888,コーデュロイという素材で作られたぬいぐるみをメルカリで購入しました。 出品者さんは、喫煙者やペットは...
2026/1/11 13:55,男性アイドル,非公開,23時間57分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171886,至急！ M!LKのお渡し会で曽野舜太くんに会った事があるんですが遅い部だったからか分からないのですが...
2026/1/11 13:55,ボクシング,b37a48914,23時間57分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171887,ナワバリで初動自陣塗りは間違いですか? 今までずっとそれでやってきましたが必ず初動打開になり試合にな...
2026/1/11 13:55,恋愛相談、人間関係の悩み,1251585560,23時間57分,1,7,0.0,14.29,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171885,私は高校生女子です。 よく男女問わずガードが固そうと言われます。 これって何でですか？
2026/1/11 13:55,病気、症状,匿名,23時間57分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171884,高齢者施設を病院と思っている、高齢の男性は、認知症ですか？
2026/1/11 13:55,ゴルフ,1150696951,23時間57分,0,1,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171883,ゴルフ 下半身始動 下半身が動いた時、上半身はどこも動いたらダメなのでしょうか。
2026/1/11 13:55,アニメ、コミック,聖なるちいかわ,23時間57分,1,3,0.0,33.33,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324171882,こんにちは、皆さんの好きな漫画、アニメ、ゲーム、マスコットなどのキャラクターでコンビを編成して、その...
2026/1/11 13:55,職業,b785ad7,23時間57分,0,3,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324171881,プログラミング初心者です！ いろいろ教えて欲しいです！ 私はIT系にとても弱く、今IT業界が盛んだっ...
2026/1/11 13:55,工芸,yos********,23時間57分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324171880,常滑焼の壷の箱書きに｢紙画｣と読める文字が書かれていますが、どのような技法か又は意味か分かりません。...
2026/1/11 13:54,学校の悩み,c411fa06f,23時間58分,0,2,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324171879,推薦なんですけど一般入試も受けないといけないらしいくて去年は最低点が160点ぐらいで今年もおそらくそ...
2026/1/11 13:54,大学受験,1152992538,23時間58分,2,5,0.0,40.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324171878,共通テストの中で、相対的に難易度の高い科目と低い科目はどれだと思いますか？僕は難しいのは化学、取りや...
